Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
00:00:00,321,315.0,363,417,368.0,318.0,325,356,331,396.0,477.0,401.0,,187,187,325,375,217.0,427,273,320.0,,366.0,,305.0,321.0,380,323,167
01:00:00,312,352.0,358,426,340.0,319.0,335,348,331,407.0,491.0,400.0,,237,147,305,361,233.0,415,273,167.0,,351.0,,277.0,359.0,382,280,120
02:00:00,260,344.0,332,437,350.0,303.0,342,346,318,407.0,472.0,393.0,,302,197,324,356,318.0,414,297,280.0,,354.0,,306.0,391.0,355,302,123
03:00:00,305,297.0,331,378,345.0,322.0,318,386,331,443.0,450.0,349.0,,270,143,357,354,308.0,418,203,270.0,,320.0,,314.0,,305,280,120
04:00:00,307,325.0,361,373,332.0,334.0,337,368,342,407.0,450.0,345.0,,287,167,355,366,267.0,407,253,230.0,,314.0,,348.0,,310,257,123
05:00:00,416,318.0,388,362,339.0,334.0,365,371,367,365.0,417.0,386.0,,250,223,379,392,307.0,397,323,140.0,,307.0,,374.0,,223,223,130
06:00:00,397,302.0,369,358,351.0,331.0,338,365,361,350.0,370.0,406.0,,220,253,337,416,348.0,398,312,95.0,,306.0,,348.0,353.0,217,213,130
07:00:00,382,307.0,337,372,376.0,328.0,329,368,358,342.0,365.0,408.0,267.0,237,243,410,417,306.0,373,315,107.0,,267.0,,341.0,333.0,217,213,150
08:00:00,374,328.0,363,437,438.0,334.0,440,382,372,378.0,358.0,395.0,260.0,302,180,393,443,329.0,371,323,55.0,,305.0,,325.0,342.0,213,207,160
09:00:00,383,336.0,367,432,454.0,,430,362,414,441.0,372.0,417.0,237.0,318,138,344,424,316.0,358,316,50.0,,311.0,,358.0,411.0,233,203,167
10:00:00,378,342.0,366,431,417.0,375.0,374,361,398,386.0,390.0,407.0,329.0,308,183,361,457,373.0,361,308,67.0,,320.0,,426.0,359.0,302,223,143
11:00:00,302,333.0,342,495,395.0,329.0,338,362,386,406.0,359.0,370.0,311.0,237,217,357,434,358.0,328,267,70.0,105.0,327.0,,,392.0,301,200,125
12:00:00,270,324.0,302,373,346.0,290.0,312,356,337,392.0,,369.0,297.0,180,203,358,342,327.0,280,298,69.0,130.0,290.0,230.0,,356.0,301,185,121
13:00:00,250,325.0,170,322,233.0,207.0,302,346,315,,,339.0,197.0,170,180,332,287,302.0,173,416,77.0,130.0,200.0,143.0,315.0,307.0,303,187,133
14:00:00,180,324.0,130,302,121.0,147.0,302,315,301,220.0,,311.0,148.0,171,155,327,157,203.0,204,380,63.0,130.0,133.0,147.0,302.0,306.0,273,177,114
15:00:00,157,,98,200,120.0,123.0,253,167,270,237.0,,220.0,156.0,329,160,187,141,160.0,174,407,48.0,104.0,,160.0,260.0,217.0,297,163,139
16:00:00,143,257.0,109,200,113.0,107.0,163,127,167,122.0,,217.0,171.0,406,162,117,127,,188,259,90.0,86.0,,135.0,127.0,124.0,237,139,177
17:00:00,160,187.0,107,230,123.0,123.0,207,133,160,143.0,187.0,,164.0,215,152,115,123,145.0,207,213,49.0,97.0,,122.0,109.0,123.0,207,167,143
18:00:00,167,143.0,117,309,127.0,143.0,157,133,187,131.0,167.0,,177.0,188,156,108,127,133.0,190,210,,91.0,,123.0,109.0,127.0,207,152,149
19:00:00,157,213.0,167,339,140.0,140.0,133,203,230,167.0,197.0,,157.0,127,127,127,131,145.0,220,223,,111.0,,133.0,131.0,150.0,193,150,135
20:00:00,183,320.0,290,380,207.0,250.0,207,305,311,243.0,302.0,,200.0,142,143,223,174,191.0,233,223,,124.0,,183.0,164.0,180.0,240,157,104
21:00:00,306,347.0,340,387,,368.0,303,335,351,356.0,345.0,,217.0,149,253,310,270,270.0,250,307,,220.0,,250.0,243.0,314.0,280,177,64
22:00:00,311,358.0,401,411,312.0,355.0,340,353,365,406.0,378.0,,230.0,167,273,357,320,316.0,314,314,,303.0,,306.0,312.0,339.0,309,183,42
23:00:00,303,354.0,435,385,305.0,335.0,334,341,382,440.0,407.0,,207.0,170,323,396,305,407.0,302,306,,337.0,,237.0,352.0,354.0,323,187,39
