Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
00:00:00,429,334,443,410,500,457.0,450,455,497,136,461,443,433.0,471,173,409,328,319.0,376,382,370,362,388.0,500,500,393.0,183,321,348,453
01:00:00,456,339,444,417,500,454.0,484,439,474,134,463,439,459.0,483,165,399,325,312.0,365,400,369,390,421.0,500,500,362.0,197,329,354,450
02:00:00,455,379,422,411,500,436.0,0,422,480,114,444,446,471.0,456,186,365,230,315.0,372,423,345,388,422.0,475,500,359.0,193,316,362,443
03:00:00,462,429,417,413,499,411.0,500,429,467,40,444,436,480.0,431,135,337,163,333.0,358,414,345,382,423.0,447,500,375.0,220,308,366,431
04:00:00,476,350,379,403,478,389.0,494,465,466,121,422,421,446.0,424,211,329,270,332.0,340,429,341,372,416.0,447,500,407.0,273,312,349,422
05:00:00,488,429,358,375,434,419.0,493,468,486,113,429,420,431.0,429,132,328,243,342.0,374,404,321,375,418.0,455,500,375.0,304,321,349,404
06:00:00,479,378,329,366,419,432.0,495,469,493,108,420,416,433.0,468,500,328,150,58.0,365,388,318,378,423.0,434,500,370.0,112,357,361,425
07:00:00,484,332,307,395,403,432.0,491,476,500,104,411,409,403.0,446,500,187,160,318.0,366,371,319,385,416.0,442,500,368.0,47,370,329,409
08:00:00,474,273,322,408,411,422.0,500,450,500,104,414,422,395.0,462,500,107,193,321.0,365,365,345,374,426.0,467,112,386.0,293,362,304,375
09:00:00,457,223,331,383,426,441.0,500,422,500,124,448,417,433.0,500,452,133,233,318.0,386,388,363,388,443.0,500,500,,290,359,319,387
10:00:00,449,310,348,421,417,463.0,500,410,500,170,432,406,465.0,500,450,170,260,,367,368,367,408,,500,500,,308,358,361,388
11:00:00,449,342,399,432,433,,485,459,500,158,458,369,487.0,500,456,213,290,,342,358,368,380,401.0,475,500,124.0,311,344,382,392
12:00:00,429,381,344,449,423,458.0,429,492,500,135,420,345,,500,439,170,220,301.0,277,358,328,345,350.0,378,500,116.0,297,332,383,367
13:00:00,378,386,220,491,411,437.0,410,483,500,163,334,309,349.0,500,402,133,170,213.0,293,325,187,314,350.0,342,460,108.0,217,314,311,335
14:00:00,316,365,304,495,374,411.0,376,418,500,183,303,151,303.0,500,359,130,130,150.0,257,240,146,230,321.0,336,404,105.0,123,177,312,342
15:00:00,162,353,170,500,341,410.0,320,431,500,482,183,167,203.0,500,352,130,100,157.0,160,187,141,140,290.0,328,404,94.0,101,141,280,312
16:00:00,163,351,107,500,318,344.0,301,424,484,420,217,160,185.0,413,335,147,102,213.0,157,141,131,127,267.0,310,414,102.0,98,123,217,243
17:00:00,163,309,123,500,315,327.0,302,400,459,302,160,180,170.0,438,323,167,104,213.0,167,128,123,111,305.0,328,437,154.0,101,118,240,237
18:00:00,137,213,135,487,321,331.0,305,422,493,297,155,207,230.0,500,342,197,95,273.0,200,127,115,134,310.0,345,462,105.0,119,137,197,306
19:00:00,169,280,161,470,338,344.0,328,418,500,315,200,304,270.0,500,341,193,141,273.0,287,150,159,178,353.0,396,453,147.0,161,200,213,319
20:00:00,293,327,370,489,403,401.0,373,457,500,405,312,314,394.0,500,344,223,143,293.0,334,304,237,303,396.0,437,467,212.0,170,257,323,418
21:00:00,323,413,400,495,405,443.0,416,464,133,420,345,430,428.0,500,336,293,180,334.0,354,327,307,335,421.0,483,472,213.0,290,311,401,420
22:00:00,329,422,407,500,446,432.0,417,476,141,431,418,467,447.0,500,372,314,273,349.0,378,348,324,337,483.0,500,450,267.0,293,344,416,434
23:00:00,348,434,441,500,459,429.0,445,480,136,450,433,465,455.0,500,399,318,320,383.0,396,375,351,359,500.0,500,413,240.0,312,370,447,465
